        size,          ops,         time,      op/time
      131072,     31248384,     0.060613,  5.15539e+08
      262144,     31248384,     0.062387,   5.0088e+08
      393216,     31248384,     0.062434,  5.00503e+08
      524288,     31244288,     0.057849,  5.40101e+08
      655360,     31242240,     0.062007,   5.0385e+08
      786432,     31248384,     0.062781,  4.97736e+08
      917504,     31238144,     0.060603,  5.15455e+08
     1048576,     31244288,     0.062288,   5.0161e+08
     1179648,     31242240,     0.065281,  4.78581e+08
     1310720,     31232000,     0.062175,  5.02324e+08
     1441792,     31246336,     0.059439,  5.25687e+08
     1572864,     31236096,     0.063157,  4.94579e+08
     1703936,     31229952,     0.066323,  4.70877e+08
     1835008,     31223808,     0.065404,  4.77399e+08
     1966080,     31242240,     0.061321,  5.09487e+08
     2097152,     31227904,     0.062118,  5.02719e+08
     2228224,     31229952,     0.063596,  4.91068e+08
     2359296,     31223808,     0.062181,  5.02144e+08
     2490368,     31246336,     0.065368,  4.78007e+08
     2621440,     31211520,     0.065647,  4.75445e+08
     2752512,     31223808,     0.078065,  3.99972e+08
     2883584,     31223808,     0.059071,  5.28581e+08
     3014656,     31229952,     0.061728,  5.05928e+08
     3145728,     31211520,     0.057792,  5.40066e+08
     3276800,     31232000,     0.083170,   3.7552e+08
     3407872,     31203328,     0.083199,  3.75045e+08
     3538944,     31242240,     0.072429,   4.3135e+08
     3670016,     31195136,     0.061628,  5.06184e+08
     3801088,     31240192,     0.063750,  4.90042e+08
     3932160,     31211520,     0.060133,  5.19041e+08
     4063232,     31236096,     0.063714,  4.90255e+08
     4194304,     31195136,     0.062586,  4.98436e+08
     4325376,     31223808,     0.062746,  4.97622e+08
     4456448,     31195136,     0.064291,  4.85218e+08
     4587520,     31180800,     0.062953,  4.95303e+08
     4718592,     31186944,     0.066097,  4.71836e+08
     4849664,     31219712,     0.063059,  4.95087e+08
     4980736,     31207424,     0.061468,  5.07702e+08
     5111808,     31229952,     0.061861,  5.04841e+08
     5242880,     31211520,     0.060011,  5.20097e+08
     5373952,     31236096,     0.063758,  4.89916e+08
     5505024,     31223808,     0.063446,  4.92132e+08
     5636096,     31174656,     0.059689,  5.22285e+08
     5767168,     31178752,     0.066138,   4.7142e+08
     5898240,     31242240,     0.063848,  4.89322e+08
     6029312,     31182848,     0.062640,   4.9781e+08
     6160384,     31186944,     0.059514,  5.24027e+08
     6291456,     31162368,     0.062467,  4.98861e+08
     6422528,     31209472,     0.058095,  5.37214e+08
     6553600,     31232000,     0.058756,  5.31554e+08
     6684672,     31229952,     0.063077,  4.95108e+08
     6815744,     31203328,     0.063964,  4.87826e+08
     6946816,     31152128,     0.062954,   4.9484e+08
     7077888,     31186944,     0.063517,  4.91002e+08
     7208960,     31201280,     0.065783,  4.74306e+08
     7340032,     31195136,     0.061666,  5.05873e+08
     7471104,     31168512,     0.064525,  4.83046e+08
     7602176,     31240192,     0.063459,  4.92289e+08
     7733248,     31174656,     0.061830,    5.042e+08
     7864320,     31211520,     0.062075,  5.02803e+08
     7995392,     31232000,     0.059938,  5.21072e+08
     8126464,     31236096,     0.062159,  5.02519e+08
     8257536,     31223808,     0.063119,  4.94682e+08
