        size,          ops,         time,      time/op
           2,      5120000,     0.010836,  2.11641e-09
           4,      5120000,     0.008503,  1.66074e-09
           6,      5120040,     0.008436,  1.64764e-09
           8,      5120000,     0.010732,  2.09609e-09
          10,      5120000,     0.008515,  1.66309e-09
          12,      5120040,     0.008559,  1.67167e-09
          14,      5120080,     0.011632,  2.27184e-09
          16,      5120000,     0.009691,  1.89277e-09
          18,      5120100,     0.008378,   1.6363e-09
          20,      5120000,     0.008682,   1.6957e-09
          22,      5120060,     0.008434,  1.64725e-09
          24,      5120160,     0.008835,  1.72553e-09
          26,      5120180,     0.009111,  1.77943e-09
          28,      5120080,     0.009781,  1.91032e-09
          30,      5120100,     0.008640,  1.68747e-09
          32,      5120000,     0.008855,  1.72949e-09
          34,      5120060,     0.008658,    1.691e-09
          36,      5120280,     0.009008,  1.75928e-09
          38,      5120120,     0.008967,  1.75133e-09
          40,      5120000,     0.008997,  1.75723e-09
          42,      5120220,     0.009182,  1.79328e-09
          44,      5120280,     0.009243,  1.80517e-09
          46,      5120260,     0.009509,  1.85713e-09
          48,      5120160,     0.009729,  1.90014e-09
          50,      5120000,     0.009639,  1.88262e-09
          52,      5120440,     0.009218,  1.80024e-09
          54,      5120280,     0.009774,  1.90888e-09
          56,      5120080,     0.009853,  1.92438e-09
          58,      5120240,     0.009901,   1.9337e-09
          60,      5120400,     0.009948,  1.94282e-09
          62,      5120580,     0.010515,  2.05348e-09
          64,      5120000,     0.009716,  1.89766e-09
          66,      5120280,     0.010768,  2.10301e-09
          68,      5120400,     0.010062,  1.96508e-09
          70,      5120500,     0.010004,  1.95372e-09
          72,      5120640,     0.010046,  1.96186e-09
          74,      5120060,     0.010263,  2.00447e-09
          76,      5120120,     0.010161,  1.98452e-09
          78,      5120700,     0.010022,  1.95715e-09
          80,      5120000,     0.010445,  2.04004e-09
          82,      5120080,     0.010695,  2.08883e-09
          84,      5120640,     0.010641,  2.07806e-09
          86,      5120440,     0.010470,  2.04475e-09
          88,      5120720,     0.010849,  2.11865e-09
          90,      5120100,     0.010539,  2.05836e-09
          92,      5120720,     0.011126,  2.17274e-09
          94,      5120180,     0.010390,  2.02923e-09
          96,      5120640,     0.010540,  2.05834e-09
          98,      5120500,     0.010609,  2.07187e-09
         100,      5120000,     0.011146,  2.17695e-09
         102,      5120400,     0.011052,  2.15843e-09
         104,      5120960,     0.010869,  2.12245e-09
         106,      5120860,     0.011353,  2.21701e-09
         108,      5120280,     0.011165,  2.18054e-09
         110,      5120500,     0.011109,  2.16951e-09
         112,      5120640,     0.010951,   2.1386e-09
         114,      5120880,     0.011608,   2.2668e-09
         116,      5120240,     0.011381,  2.22275e-09
         118,      5120020,     0.011380,  2.22265e-09
         120,      5120400,     0.011947,  2.33322e-09
         122,      5120340,     0.011000,  2.14829e-09
         124,      5121200,     0.013097,  2.55741e-09
         126,      5120640,     0.012542,   2.4493e-09
         128,      5120000,     0.015019,   2.9334e-09
         130,      5120700,     0.011306,   2.2079e-09
         132,      5120280,     0.011247,  2.19656e-09
         134,      5120140,     0.010107,  1.97397e-09
         136,      5120400,     0.010808,  2.11077e-09
         138,      5121180,     0.010545,   2.0591e-09
         140,      5121200,     0.010201,  1.99192e-09
         142,      5120520,     0.009967,  1.94648e-09
         144,      5120640,     0.010251,   2.0019e-09
         146,      5120220,     0.010124,  1.97726e-09
         148,      5120800,     0.010356,  2.02234e-09
         150,      5121000,     0.010126,  1.97735e-09
         152,      5120880,     0.010621,  2.07406e-09
         154,      5120500,     0.013521,  2.64056e-09
         156,      5121480,     0.010099,  1.97189e-09
         158,      5120780,     0.010144,  1.98095e-09
         160,      5120000,     0.009928,  1.93906e-09
         162,      5120820,     0.009940,   1.9411e-09
         164,      5120080,     0.009774,  1.90895e-09
         166,      5121100,     0.009775,  1.90877e-09
         168,      5120640,     0.009862,  1.92593e-09
         170,      5120400,     0.010072,  1.96703e-09
         172,      5120440,     0.009876,  1.92874e-09
         174,      5120820,     0.010015,  1.95574e-09
